locus_tag	ftype	length_bp	gene	EC_number	COG	product
PJIMHBMA_00001	gene	405				
PJIMHBMA_00001	CDS	405				unannotated protein
PJIMHBMA_00002	gene	561				
PJIMHBMA_00002	CDS	561				unannotated protein
PJIMHBMA_00003	gene	948				
PJIMHBMA_00003	CDS	948				unannotated protein
PJIMHBMA_00004	gene	462				
PJIMHBMA_00004	CDS	462				unannotated protein
PJIMHBMA_00005	gene	348				
PJIMHBMA_00005	CDS	348				unannotated protein
PJIMHBMA_00006	gene	291				
PJIMHBMA_00006	CDS	291				unannotated protein
PJIMHBMA_00007	gene	372				
PJIMHBMA_00007	CDS	372				unannotated protein
PJIMHBMA_00008	gene	633				
PJIMHBMA_00008	CDS	633				unannotated protein
PJIMHBMA_00009	gene	297				
PJIMHBMA_00009	CDS	297				unannotated protein
PJIMHBMA_00010	gene	288				
PJIMHBMA_00010	CDS	288				unannotated protein
PJIMHBMA_00011	gene	2766				
PJIMHBMA_00011	CDS	2766				unannotated protein
PJIMHBMA_00012	gene	1002				
PJIMHBMA_00012	CDS	1002				unannotated protein
PJIMHBMA_00013	gene	756				
PJIMHBMA_00013	CDS	756				unannotated protein
PJIMHBMA_00014	gene	561				
PJIMHBMA_00014	CDS	561				unannotated protein
PJIMHBMA_00015	gene	948				
PJIMHBMA_00015	CDS	948				unannotated protein
PJIMHBMA_00016	gene	462				
PJIMHBMA_00016	CDS	462				unannotated protein
PJIMHBMA_00017	gene	348				
PJIMHBMA_00017	CDS	348				unannotated protein
PJIMHBMA_00018	gene	279				
PJIMHBMA_00018	CDS	279				unannotated protein
PJIMHBMA_00019	gene	372				
PJIMHBMA_00019	CDS	372				unannotated protein
PJIMHBMA_00020	gene	636				
PJIMHBMA_00020	CDS	636				unannotated protein
PJIMHBMA_00021	gene	297				
PJIMHBMA_00021	CDS	297				unannotated protein
PJIMHBMA_00022	gene	288				
PJIMHBMA_00022	CDS	288				unannotated protein
PJIMHBMA_00023	gene	1014				
PJIMHBMA_00023	CDS	1014				unannotated protein
PJIMHBMA_00024	gene	120				
PJIMHBMA_00024	CDS	120				unannotated protein
PJIMHBMA_00025	gene	948				
PJIMHBMA_00025	CDS	948				unannotated protein
PJIMHBMA_00026	gene	1158				
PJIMHBMA_00026	CDS	1158				unannotated protein
PJIMHBMA_00027	gene	819				
PJIMHBMA_00027	CDS	819				unannotated protein
PJIMHBMA_00028	gene	264				
PJIMHBMA_00028	CDS	264				unannotated protein
PJIMHBMA_00029	gene	798				
PJIMHBMA_00029	CDS	798				unannotated protein
PJIMHBMA_00030	gene	858				
PJIMHBMA_00030	CDS	858				unannotated protein
PJIMHBMA_00031	gene	399				
PJIMHBMA_00031	CDS	399				unannotated protein
PJIMHBMA_00032	gene	495				
PJIMHBMA_00032	CDS	495				unannotated protein
PJIMHBMA_00033	gene	309				
PJIMHBMA_00033	CDS	309				unannotated protein
PJIMHBMA_00034	gene	174				
PJIMHBMA_00034	CDS	174				unannotated protein
PJIMHBMA_00035	gene	393				
PJIMHBMA_00035	CDS	393				unannotated protein
PJIMHBMA_00036	gene	756				
PJIMHBMA_00036	CDS	756				unannotated protein
PJIMHBMA_00037	gene	561				
PJIMHBMA_00037	CDS	561				unannotated protein
PJIMHBMA_00038	gene	948				
PJIMHBMA_00038	CDS	948				unannotated protein
PJIMHBMA_00039	gene	462				
PJIMHBMA_00039	CDS	462				unannotated protein
PJIMHBMA_00040	gene	348				
PJIMHBMA_00040	CDS	348				unannotated protein
PJIMHBMA_00041	gene	291				
PJIMHBMA_00041	CDS	291				unannotated protein
PJIMHBMA_00042	gene	372				
PJIMHBMA_00042	CDS	372				unannotated protein
PJIMHBMA_00043	gene	633				
PJIMHBMA_00043	CDS	633				unannotated protein
PJIMHBMA_00044	gene	297				
PJIMHBMA_00044	CDS	297				unannotated protein
PJIMHBMA_00045	gene	288				
PJIMHBMA_00045	CDS	288				unannotated protein
PJIMHBMA_00046	gene	1014				
PJIMHBMA_00046	CDS	1014				unannotated protein
PJIMHBMA_00047	gene	735				
PJIMHBMA_00047	CDS	735				unannotated protein
PJIMHBMA_00048	gene	681				
PJIMHBMA_00048	CDS	681				unannotated protein
PJIMHBMA_00049	gene	264				
PJIMHBMA_00049	CDS	264				unannotated protein
PJIMHBMA_00050	gene	798				
PJIMHBMA_00050	CDS	798				unannotated protein
PJIMHBMA_00051	gene	858				
PJIMHBMA_00051	CDS	858				unannotated protein
PJIMHBMA_00052	gene	399				
PJIMHBMA_00052	CDS	399				unannotated protein
PJIMHBMA_00053	gene	495				
PJIMHBMA_00053	CDS	495				unannotated protein
PJIMHBMA_00054	gene	399				
PJIMHBMA_00054	CDS	399				unannotated protein
PJIMHBMA_00055	gene	276				
PJIMHBMA_00055	CDS	276				unannotated protein
PJIMHBMA_00056	gene	321				
PJIMHBMA_00056	CDS	321				unannotated protein
PJIMHBMA_00057	gene	1041				
PJIMHBMA_00057	CDS	1041				unannotated protein
PJIMHBMA_00058	gene	195				
PJIMHBMA_00058	CDS	195				unannotated protein
PJIMHBMA_00059	gene	558				
PJIMHBMA_00059	CDS	558				unannotated protein
PJIMHBMA_00060	gene	567				
PJIMHBMA_00060	CDS	567				unannotated protein
PJIMHBMA_00061	gene	672				
PJIMHBMA_00061	CDS	672				unannotated protein
PJIMHBMA_00062	gene	165				
PJIMHBMA_00062	CDS	165				unannotated protein
PJIMHBMA_00063	gene	2766				
PJIMHBMA_00063	CDS	2766				unannotated protein
PJIMHBMA_00064	gene	948				
PJIMHBMA_00064	CDS	948				unannotated protein
PJIMHBMA_00065	gene	1158				
PJIMHBMA_00065	CDS	1158				unannotated protein
PJIMHBMA_00066	gene	819				
PJIMHBMA_00066	CDS	819				unannotated protein
PJIMHBMA_00067	gene	264				
PJIMHBMA_00067	CDS	264				unannotated protein
PJIMHBMA_00068	gene	798				
PJIMHBMA_00068	CDS	798				unannotated protein
PJIMHBMA_00069	gene	858				
PJIMHBMA_00069	CDS	858				unannotated protein
PJIMHBMA_00070	gene	1512				
PJIMHBMA_00070	CDS	1512				unannotated protein
PJIMHBMA_00071	gene	1326				
PJIMHBMA_00071	CDS	1326				unannotated protein
PJIMHBMA_00072	gene	756				
PJIMHBMA_00072	CDS	756				unannotated protein
PJIMHBMA_00073	gene	561				
PJIMHBMA_00073	CDS	561				unannotated protein
PJIMHBMA_00074	gene	948				
PJIMHBMA_00074	CDS	948				unannotated protein
PJIMHBMA_00075	gene	462				
PJIMHBMA_00075	CDS	462				unannotated protein
PJIMHBMA_00076	gene	348				
PJIMHBMA_00076	CDS	348				unannotated protein
PJIMHBMA_00077	gene	279				
PJIMHBMA_00077	CDS	279				unannotated protein
PJIMHBMA_00078	gene	372				
PJIMHBMA_00078	CDS	372				unannotated protein
PJIMHBMA_00079	gene	633				
PJIMHBMA_00079	CDS	633				unannotated protein
PJIMHBMA_00080	gene	297				
PJIMHBMA_00080	CDS	297				unannotated protein
PJIMHBMA_00081	gene	600				
PJIMHBMA_00081	CDS	600				unannotated protein
PJIMHBMA_00082	gene	858				
PJIMHBMA_00082	CDS	858				unannotated protein
PJIMHBMA_00083	gene	399				
PJIMHBMA_00083	CDS	399				unannotated protein
PJIMHBMA_00084	gene	495				
PJIMHBMA_00084	CDS	495				unannotated protein
PJIMHBMA_00085	gene	399				
PJIMHBMA_00085	CDS	399				unannotated protein
PJIMHBMA_00086	gene	276				
PJIMHBMA_00086	CDS	276				unannotated protein
PJIMHBMA_00087	gene	321				
PJIMHBMA_00087	CDS	321				unannotated protein
PJIMHBMA_00088	gene	1041				
PJIMHBMA_00088	CDS	1041				unannotated protein
PJIMHBMA_00089	gene	195				
PJIMHBMA_00089	CDS	195				unannotated protein
PJIMHBMA_00090	gene	558				
PJIMHBMA_00090	CDS	558				unannotated protein
PJIMHBMA_00091	gene	567				
PJIMHBMA_00091	CDS	567				unannotated protein
PJIMHBMA_00092	gene	672				
PJIMHBMA_00092	CDS	672				unannotated protein
PJIMHBMA_00093	gene	177				
PJIMHBMA_00093	CDS	177				unannotated protein
PJIMHBMA_00094	gene	858				
PJIMHBMA_00094	CDS	858				unannotated protein
PJIMHBMA_00095	gene	276				
PJIMHBMA_00095	CDS	276				unannotated protein
PJIMHBMA_00096	gene	321				
PJIMHBMA_00096	CDS	321				unannotated protein
PJIMHBMA_00097	gene	1041				
PJIMHBMA_00097	CDS	1041				unannotated protein
PJIMHBMA_00098	gene	195				
PJIMHBMA_00098	CDS	195				unannotated protein
PJIMHBMA_00099	gene	558				
PJIMHBMA_00099	CDS	558				unannotated protein
PJIMHBMA_00100	gene	567				
PJIMHBMA_00100	CDS	567				unannotated protein
PJIMHBMA_00101	gene	672				
